City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,New Norfolk,AU,-42.78,147.06,38.91,82,16,1.04,few clouds
143,Cockburn Town,TC,21.46,-71.14,84.16,61,75,7.72,broken clouds
144,Kahului,US,20.89,-156.47,78.96,74,40,8.23,scattered clouds
145,Pangnirtung,CA,66.15,-65.71,33.80,86,75,3.09,broken clouds
146,Aripuana,BR,-9.17,-60.63,94.26,33,57,1.23,broken clouds
147,Ancud,CL,-41.87,-73.82,48.22,66,100,0.99,overcast clouds
148,Lorengau,PG,-2.02,147.27,79.34,76,8,1.49,clear sky
149,Khasan,RU,42.43,130.64,52.75,96,100,0.85,overcast clouds
150,Avarua,CK,-21.21,-159.78,75.25,64,75,5.14,broken clouds
151,Cap Malheureux,MU,-19.98,57.61,72.46,71,97,1.34,overcast clouds
152,Arraial Do Cabo,BR,-22.97,-42.03,82.36,78,0,5.14,clear sky
153,Tucuman,AR,-26.82,-65.22,53.60,58,75,3.09,broken clouds
154,Keti Bandar,PK,24.14,67.45,81.75,86,0,9.18,clear sky
155,Clyde River,CA,70.47,-68.59,39.43,75,40,1.03,scattered clouds
156,Bilma,NE,18.69,12.92,93.92,6,0,1.99,clear sky
157,Soderhamn,SE,61.30,17.06,56.95,91,66,2.61,broken clouds
158,Baghdad,IQ,33.34,44.40,93.11,12,0,1.03,clear sky
159,Chebarkul,RU,54.97,60.36,52.43,76,31,2.92,scattered clouds
160,Hofn,IS,64.25,-15.21,51.82,82,75,3.09,broken clouds
161,Mayo,US,38.89,-76.51,95.20,51,0,3.09,clear sky
162,Maryborough,AU,-25.53,152.70,57.11,57,99,2.53,overcast clouds
163,Chokurdakh,RU,70.63,147.92,36.12,89,100,5.13,light rain
164,Buchanan,LR,5.88,-10.05,79.59,84,100,3.3,overcast clouds
165,Geraldton,AU,-28.77,114.60,46.81,87,91,1.54,overcast clouds
166,Fairbanks,US,64.84,-147.72,71.10,44,0,0.0,clear sky
167,Victoria,HK,22.29,114.16,84.38,87,100,4.92,overcast clouds
168,Shelabolikha,RU,53.41,82.62,50.18,92,100,7.62,light rain
169,Aragarcas,BR,-15.90,-52.25,93.85,31,0,3.09,clear sky
170,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,82.20,78,75,2.06,broken clouds
171,Lubumbashi,CD,-11.66,27.48,55.78,57,0,2.56,clear sky
172,Smirnykh,RU,49.75,142.83,39.81,99,100,0.6,overcast clouds
173,Druzhba,UA,52.04,33.95,62.37,93,21,2.92,few clouds
174,Lyngseidet,NO,69.58,20.22,59.00,73,95,6.17,overcast clouds
