City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,159,Bethel,US,2022-05-24 20:19:21,41.3712,-73.414,293.93,56,100,4.12
160,160,Bangassou,CF,2022-05-24 20:19:22,4.7413,22.8184,293.64,91,100,0.67
161,161,Soyo,AO,2022-05-24 20:19:22,-6.1349,12.3689,296.79,82,32,3.96
162,162,Tura,IN,2022-05-24 20:19:22,25.5198,90.2201,295.58,88,0,1.52
163,163,Owase,JP,2022-05-24 20:19:23,34.0667,136.2,291.4,92,99,1.71
164,164,Barrow,US,2022-05-24 20:17:18,71.2906,-156.7887,271.16,86,100,3.09
165,165,Mount Isa,AU,2022-05-24 20:19:23,-20.7333,139.5,287.02,77,81,2.57
166,166,Dehloran,IR,2022-05-24 20:19:23,32.6941,47.2679,300.66,22,0,4.4
167,167,Qaanaaq,GL,2022-05-24 20:19:24,77.484,-69.3632,271.27,79,64,0.39
168,168,Bac Lieu,VN,2022-05-24 20:19:24,9.285,105.7244,300.6,85,99,3.0
169,169,Ponta Do Sol,PT,2022-05-24 20:19:24,32.6667,-17.1,292.99,68,60,3.25
170,170,Cuamba,MZ,2022-05-24 20:19:25,-14.8031,36.5372,295.51,72,100,1.61
171,171,Touros,BR,2022-05-24 20:19:25,-5.1989,-35.4608,297.9,89,7,4.08
172,172,West Plains,US,2022-05-24 20:19:25,36.7281,-91.8524,290.61,86,100,3.6
173,173,Thoen,TH,2022-05-24 20:19:26,17.6129,99.2161,297.26,96,100,1.24
174,174,Campos Belos,BR,2022-05-24 20:19:26,-13.0367,-46.7717,302.45,28,6,2.94
175,175,Aleksandrov Gay,RU,2022-05-24 20:19:26,50.147,48.5704,283.9,59,11,4.04
176,176,Yakeshi,CN,2022-05-24 20:19:26,49.2833,120.7333,280.74,41,0,1.33
177,177,Kloulklubed,PW,2022-05-24 20:19:27,7.0419,134.2556,301.76,78,100,7.64
178,178,Komsomolskiy,UZ,2022-05-24 20:18:19,40.4272,71.7189,290.55,67,0,3.09
179,179,Itarema,BR,2022-05-24 20:19:27,-2.9248,-39.9167,298.66,86,55,4.88
180,180,Luderitz,,2022-05-24 20:19:27,-26.6481,15.1594,289.08,65,0,2.2
181,181,Laguna,US,2022-05-24 20:17:39,38.421,-121.4238,308.23,18,0,5.66
182,182,Hithadhoo,MV,2022-05-24 20:19:28,-0.6,73.0833,301.65,70,100,2.71
183,183,Kangaatsiaq,GL,2022-05-24 20:19:28,68.3065,-53.4641,268.18,57,17,4.92
184,184,San Vicente,AR,2022-05-24 20:19:48,-26.6167,-54.1333,293.7,62,0,1.25
185,185,Acapulco,MX,2022-05-24 20:17:36,16.8634,-99.8901,303.05,70,40,5.14
186,186,Longyearbyen,SJ,2022-05-24 20:19:49,78.2186,15.6401,278.06,70,20,0.0
187,187,Shelburne,CA,2022-05-24 20:19:49,44.0787,-80.2041,290.99,51,97,2.69
188,188,New Norfolk,AU,2022-05-24 20:19:49,-42.7826,147.0587,276.99,89,0,1.36
189,189,Puno,PE,2022-05-24 20:19:50,-15.8333,-70.0333,284.09,24,0,3.87
190,190,Saldanha,ZA,2022-05-24 20:19:50,-33.0117,17.9442,289.18,92,98,1.03
191,191,Manyana,BW,2022-05-24 20:19:50,-23.4,21.7167,288.96,38,0,2.49
192,192,Bengkulu,ID,2022-05-24 20:19:50,-3.8004,102.2655,296.82,95,100,1.0
193,193,Ilebo,CD,2022-05-24 20:19:51,-4.3167,20.5833,295.1,98,100,1.02
194,194,Broome,US,2022-05-24 20:19:51,42.2506,-75.833,294.18,60,100,3.09
195,195,Villa Bruzual,VE,2022-05-24 20:19:51,9.3328,-69.1208,304.44,49,100,2.14
196,196,Kokopo,PG,2022-05-24 20:19:52,-4.352,152.2633,297.75,86,90,2.08
197,197,Damietta,EG,2022-05-24 20:19:52,31.4165,31.8133,294.09,79,0,3.76
198,198,Santa Lucia,ES,2022-05-24 20:19:30,27.9117,-15.5407,289.77,73,40,10.8
199,199,Bontang,ID,2022-05-24 20:19:52,0.1333,117.5,299.49,88,99,3.55
200,200,Udala,ES,2022-05-24 20:19:53,43.0778,-2.5125,285.45,91,100,2.08
201,201,Grand-Lahou,CI,2022-05-24 20:19:53,5.1367,-5.0242,297.41,91,100,3.25
202,202,Lima,PE,2022-05-24 20:17:33,-12.0432,-77.0282,289.29,77,100,3.09
203,203,Margate,GB,2022-05-24 20:19:53,51.3813,1.3862,284.09,80,10,0.45
204,204,Mar Del Plata,AR,2022-05-24 20:19:53,-38.0023,-57.5575,284.87,88,75,2.06
205,205,Hasaki,JP,2022-05-24 20:19:54,35.7333,140.8333,289.42,81,2,3.53
206,206,Bodden Town,KY,2022-05-24 20:19:54,19.2833,-81.25,303.15,66,20,5.14
207,207,Safaga,EG,2022-05-24 20:19:54,26.7292,33.9365,300.84,35,0,3.3
208,208,Calama,CL,2022-05-24 20:15:05,-22.4667,-68.9333,294.42,7,0,7.2
209,209,Sao Filipe,CV,2022-05-24 20:19:55,14.8961,-24.4956,295.44,79,2,3.75
210,210,Cidreira,BR,2022-05-24 20:19:55,-30.1811,-50.2056,292.25,78,8,2.95
211,211,Mpika,ZM,2022-05-24 20:19:09,-11.8343,31.4529,288.01,71,5,1.36
212,212,Tampere,FI,2022-05-24 20:19:55,61.4991,23.7871,287.21,46,0,1.54
213,213,Bethlehem,BR,2022-05-24 20:15:04,-1.4558,-48.5044,304.17,62,75,2.06
214,214,Sinnamary,GF,2022-05-24 20:19:56,5.3833,-52.95,301.13,76,45,4.96
215,215,Novyy Urengoy,RU,2022-05-24 20:19:39,66.0833,76.6333,279.08,73,69,3.57
216,216,Neuquen,AR,2022-05-24 20:18:18,-38.9516,-68.0591,287.09,41,0,1.54
217,217,Oume,JP,2022-05-24 20:19:56,35.7839,139.2431,291.96,86,0,2.06
218,218,Parma,IT,2022-05-24 20:19:56,44.8027,10.329,295.67,78,15,2.54
219,219,Ribeira Grande,PT,2022-05-24 20:19:57,38.5167,-28.7,291.37,88,75,3.09
220,220,Narsaq,GL,2022-05-24 20:19:57,60.9167,-46.05,279.27,45,2,5.9
221,221,Inhambane,MZ,2022-05-24 20:19:57,-23.865,35.3833,292.4,92,0,3.17
222,222,Cerchezu,RO,2022-05-24 20:19:57,43.8167,28.1,288.3,76,94,4.05
223,223,Fortuna,US,2022-05-24 20:19:58,40.5982,-124.1573,293.11,75,0,6.69
224,224,Dunedin,NZ,2022-05-24 20:15:47,-45.8742,170.5036,284.15,65,67,6.71
225,225,Muswellbrook,AU,2022-05-24 20:15:05,-32.2667,150.9,282.78,95,100,0.58
226,226,Qaqortoq,GL,2022-05-24 20:19:58,60.7167,-46.0333,276.58,46,0,13.7
227,227,Along,IN,2022-05-24 20:19:58,28.1667,94.7667,294.91,97,70,0.98
228,228,Kailua,US,2022-05-24 20:19:59,21.4022,-157.7394,301.14,61,75,4.12
229,229,Esperance,AU,2022-05-24 20:19:59,-33.8667,121.9,289.31,74,42,7.39
230,230,Mocuba,MZ,2022-05-24 20:19:59,-16.8392,36.9856,293.24,86,84,1.24
231,231,Suntar,RU,2022-05-24 20:20:20,62.1444,117.6319,280.16,87,81,4.76
232,232,Inirida,CO,2022-05-24 20:20:20,3.8653,-67.9239,301.52,84,93,0.37
233,233,Carndonagh,IE,2022-05-24 20:20:20,55.25,-7.2667,283.41,79,100,4.58
234,234,Georgetown,MY,2022-05-24 20:20:21,5.4112,100.3354,301.11,93,20,1.03
235,235,Mobaye,CF,2022-05-24 20:20:21,4.319,21.1786,293.84,96,100,1.05
236,236,Sala,MA,2022-05-24 20:15:39,34.0389,-6.8166,291.9,68,75,2.57
237,237,Belaya Gora,RU,2022-05-24 20:20:21,68.5333,146.4167,281.98,61,43,2.14
238,238,Kulhudhuffushi,MV,2022-05-24 20:20:21,6.6221,73.07,301.55,77,100,4.62
239,239,Richards Bay,ZA,2022-05-24 20:20:22,-28.783,32.0377,290.92,79,0,2.14
240,240,Puerto Colombia,CO,2022-05-24 20:20:22,10.9878,-74.9547,307.2,78,100,6.05
241,241,Labuhan,ID,2022-05-24 20:20:22,-6.8844,112.2051,299.06,88,60,3.64
242,242,Guane,CU,2022-05-24 20:20:23,22.2025,-84.0875,305.07,48,82,5.01
243,243,Shimoda,JP,2022-05-24 20:20:23,34.6667,138.95,291.05,83,100,0.28
244,244,Anadyr,RU,2022-05-24 20:20:23,64.75,177.4833,280.43,65,0,4.0
245,245,Jaffna,LK,2022-05-24 20:20:24,9.6685,80.0074,301.32,83,100,9.8
246,246,Kavaratti,IN,2022-05-24 20:20:24,10.5669,72.642,301.5,78,10,4.63
247,247,Belmonte,BR,2022-05-24 20:20:24,-15.8631,-38.8828,297.06,72,22,4.74
248,248,Zhangye,CN,2022-05-24 20:20:24,38.9342,100.4517,296.08,27,100,1.87
249,249,Ryotsu,JP,2022-05-24 20:20:25,38.0833,138.4333,289.4,65,0,1.16
250,250,Lebu,CL,2022-05-24 20:20:25,-37.6167,-73.65,284.22,81,97,2.04
251,251,Wattegama,LK,2022-05-24 20:20:26,6.7989,81.4808,298.46,75,100,3.71
252,252,Talas,TR,2022-05-24 20:20:26,38.6908,35.5538,281.52,66,0,2.06
253,253,Moranbah,AU,2022-05-24 20:20:26,-22.0016,148.0466,288.77,95,100,5.19
254,254,Boa Vista,BR,2022-05-24 20:20:27,2.8197,-60.6733,301.14,74,75,4.12
255,255,Kikwit,CD,2022-05-24 20:20:27,-5.041,18.8162,294.94,88,100,1.09
256,256,Torbay,CA,2022-05-24 20:20:27,47.6666,-52.7314,280.53,69,20,9.83
257,257,Beloha,MG,2022-05-24 20:20:27,-25.1667,45.05,293.39,90,32,1.26
258,258,Aklavik,CA,2022-05-24 20:20:28,68.2191,-135.0107,281.25,49,39,7.88
259,259,Zhoucheng,CN,2022-05-24 20:20:28,35.9122,116.3117,292.75,63,50,3.62
260,260,Castro,BR,2022-05-24 20:20:28,-24.7911,-50.0119,290.54,69,0,2.07
261,261,Avera,US,2022-05-24 20:20:29,33.194,-82.5271,303.18,50,100,1.95
262,262,Pevek,RU,2022-05-24 20:20:29,69.7008,170.3133,276.11,81,23,3.42
263,263,Barcelos,PT,2022-05-24 20:18:05,41.5388,-8.6151,289.21,78,42,4.37
264,264,Sorland,NO,2022-05-24 20:20:29,67.667,12.6934,285.07,75,100,6.44
265,265,Tiznit,MA,2022-05-24 20:20:29,29.5833,-9.5,290.22,79,54,1.44
266,266,Upernavik,GL,2022-05-24 20:20:30,72.7868,-56.1549,267.91,66,100,4.61
267,267,Guiyang,CN,2022-05-24 20:20:30,26.5833,106.7167,292.42,100,75,1.0
268,268,Anqing,CN,2022-05-24 20:20:30,30.5092,117.0506,293.72,82,100,0.85
269,269,Ola,RU,2022-05-24 20:20:31,59.5833,151.2833,274.9,97,100,1.1
270,270,Yanam,IN,2022-05-24 20:20:31,16.7333,82.2167,302.23,79,97,1.37
271,271,Bathsheba,BB,2022-05-24 20:20:31,13.2167,-59.5167,300.49,74,20,6.17
272,272,Innisfail,AU,2022-05-24 20:20:31,-17.5333,146.0333,293.07,91,97,2.04
273,273,Ambilobe,MG,2022-05-24 20:20:32,-13.2,49.05,294.61,86,14,1.89
274,274,Bezdan,RS,2022-05-24 20:20:32,45.8502,18.9259,296.14,84,100,4.41
275,275,Santa Isabel Do Rio Negro,BR,2022-05-24 20:20:32,-0.4139,-65.0192,301.78,77,17,1.27
